trialID,P1,P10,P11,P2,P3,P4,P5,P6,P7,P8,P9
17,1.61179797979798,5.070654545454546,0.36100000000000004,3.855029411764706,4.576854368932039,3.206044642857143,2.56608,1.642357142857143,1.1929999999999998,0.483,3.5207013333333332
18,0.4577333333333333,3.609958620689655,5.676576,3.8155,4.818879432624113,2.620228070175439,3.164857142857143,2.607980198019802,1.563,0.625904761904762,6.336186666666667
19,1.1157826086956522,2.969009174311927,5.055260714285715,5.895548872180451,4.211724137931035,9.995738666666666,3.00895,2.7679206349206353,4.101277777777778,2.3339375,1.6990598290598289
20,2.8836875,3.7246923076923077,4.814791666666667,6.309682926829268,6.501617021276596,4.053708609271523,2.2983048780487807,0.44275,1.211448275862069,0.8929850746268656,3.4976860696567162
21,2.025717948717949,3.4878454545454547,8.26089247311828,9.925013215859032,3.0162953020134227,1.7847346938775512,1.8727692307692305,1.9132173913043478,2.2807745901639347,1.1306285714285715,1.816521739130435
22,5.398181818181818,2.9436369636963695,5.447987341772151,4.971683333333333,2.0225242718446603,1.1288571428571428,2.078572463768116,1.5712244897959182,3.4742820512820516,0.6492272727272727,3.8227200000000003
23,3.0923548387096775,3.1870113636363637,5.358,5.561512820512821,0.9957894736842107,5.8571097922848665,2.0487865168539323,1.1204444444444444,0.36589655172413793,1.4510344827586206,0.3981636363636364
24,1.1102272727272728,7.538729729729729,7.770670588235295,3.218256880733945,10.91973,4.457030651340997,2.671891891891892,1.7535593220288137,3.077216216216216,2.8219444444444446,4.30735
25,0.38422222222222224,4.3753631840796015,7.721964071856287,5.144151162790697,2.6404933333333336,3.567644042233937,3.8481262135922334,1.779979166666667,0.536,0.6142142857142857,0.9685161290322581
26,5.506703910614525,4.107225806451613,7.777041666666666,7.952697388663594,1.5859999999999999,1.6146415094339623,4.922741935483872,0.3813571428571429,3.6227518797105263,0.30888888888888894,1.544864864864865
27,2.9168627450980398,7.31639446366782,2.305617021276596,4.381099526066351,3.0406666666666666,10.267377049180329,2.4796153846153848,1.4845,3.0357818181818184,0.7188181818181818,0.5662574257425742
28,2.9717260273972603,4.334130268199234,0.37417391304347825,4.367768115942028,2.780735426008969,7.057611307420495,2.45078431372549,0.35381818181818186,3.637450704225352,1.3456875000000001,0.6254366197183099
29,2.304086956521739,1.800795918367347,3.974888888888889,3.6976756756756757,2.2970526315789477,4.189394422310757,3.9791428571428575,1.3584285714285715,1.2811066666666666,3.1908125,1.969732484076433
30,1.5490731707317074,4.163174825174825,6.167732620320855,1.010878048780488,2.946390243902439,1.262,2.371886178861789,0.4305555555555556,1.5308181818181816,1.52024,2.400956375838926
31,0.49475555555555556,3.6887902097902097,0.33381818181818185,1.58066,3.531230769230769,12.260877934272301,6.303900621118013,1.9632093023255814,2.8932080745341615,1.8788372093023253,1.525294964028777
32,2.0724444444444448,4.11984,0.5072666666666666,5.693795918367346,0.39454545454545453,5.341158415841584,2.869076923076923,0.8358333333333333,9.472571428510205,1.160421052631579,1.997621052631579
33,1.7332444444444444,3.9426376811594204,4.092944444444445,4.608513513513514,3.068943396226415,3.317267973856209,3.294857142857143,2.02984,4.1006347517340425,1.0665499999999999,3.3047640449438207
34,1.2106153846153846,4.125180555555556,4.333082802547771,5.4079069767441865,2.0816774193548384,4.403062801932367,0.8261111111111111,1.405,3.0715529411764706,0.4391666666666667,2.334356164383562
35,2.1105555555555555,6.682123456790123,3.6529514563106797,6.86036170212766,12.225337175792507,2.6539594594594593,2.0833461538461537,0.34509090909090906,1.4688148148148148,1.179657142857143,0.6587868852459017
36,4.271774436090226,4.524014598540146,3.546585152838428,7.7845555555555555,6.765589958158996,2.888909090909091,2.2051726618705034,1.1136363636363635,2.1266724137931035,0.5328333333333334,1.5371764705882354
37,2.1593559322033897,2.8151275167785235,3.3732065217391303,6.4907676767676765,4.040875,1.4243703703703703,3.9749876543209877,3.7677241379310344,2.771726396913295,0.664,3.9845454545454544
38,0.8875833333333333,3.462646616541354,0.5293333333333333,1.3934761904761903,3.0245,0.6656000000000001,9.42374213836478,1.127,2.1378652094721313,0.9070769230769231,3.161365269461078
39,1.4996842105263157,5.878819338422392,3.988112994350282,8.91395652173913,10.38843579766537,6.111928571428571,3.191245283018868,1.3988717948717948,3.4510517241120686,9.910527607361963,4.655530303030303
40,2.503388888888889,3.2618736059479554,5.797777777777777,4.164122807017543,5.893611650485437,3.9475888888888893,3.5566382978723405,0.8674444444444445,3.23735,0.8156129032258065,5.191291666666666
41,1.2238518518518517,5.198724867724867,2.253573333333333,4.144,2.3878,7.2454098360655745,1.5092727272727273,1.79825,3.5768163265306123,1.0319384615384615,1.9514022988505746
42,2.1366341463414633,4.638098522167487,0.33894117647058825,5.130886075949367,3.0838260869565217,0.768451612903226,1.725542857142857,1.5225625,0.906855345918868,1.0534666666666666,4.625527607361963
43,3.1258431372549023,3.580628205128205,1.329909090909091,7.7351282051282055,1.0305185185185186,3.5845517241379308,3.9646899224806202,1.2211052631578947,1.5212,1.05968,1.793826086956522
44,2.9131333333333336,6.160766423357664,4.966437158469946,4.648666666666667,1.8911428571428572,3.510067415730337,0.6652941176470588,1.6262545454545454,2.419643835616438,0.4364761904761905,4.067466666666666
45,2.1761052631578948,3.048932584269663,3.149323943661972,3.8920223463687154,5.510884792626729,1.959,2.6673432835820896,4.6771290322580645,1.6703913043478262,1.8995094339622642,2.21830303030303
46,2.3906268656716416,1.8720377358490567,4.60428125,6.447093333333333,5.625247524752475,2.8511735159817353,1.9144571428571429,2.606,1.8339038461538462,1.7897551020408162,1.623
47,2.7246428571428574,6.489115384615385,1.735529411764706,3.7692830188679247,1.8326075949367087,3.130451612903226,1.6449677419354838,1.2786760563380282,1.5864722222222223,0.8799148936170214,2.2683764705882354
48,6.3751503267941185,2.990509433962264,3.984825,8.4634,3.168861788617886,10.489391304347826,2.185921568627451,2.86892,2.525893939409091,11.302359712230215,2.402737704918033
49,2.265372093023256,8.535013888888889,0.6491111111111111,5.124985507246376,1.187357142857143,6.268891891891892,1.2060571428571427,1.2489166666666667,2.4798333333208333,3.317142857142857,4.665594405594406
50,2.2940842105263157,3.488853801169591,0.5154545454545455,3.9946530612244904,1.952065573770492,9.735807560137456,1.360923076923077,1.699,0.37281632653061225,3.7615882352941172,2.5294772727272727
51,2.7834606741573036,3.7435180722891563,0.4227272727272728,5.305868131868132,1.8159381443298968,7.654730964467005,7.2913289855072465,1.2948695652173914,2.628648148148148,1.8318666666666665,0.430204081632653
52,2.220139534883721,4.377978947368422,4.7390725806451615,2.2987162162162162,1.8668888888888888,1.3025272727272728,1.8045681818181818,1.0464761904761903,1.5767333333425,1.503551724137931,1.313135135135135
53,1.8972470588235293,4.076743362831858,3.6146280991735535,7.70114450867052,2.947705426356589,1.6129565217391304,3.534132231404959,0.39306666666666673,1.18548,2.211846153846154,2.599292307692308
54,2.1892761904761904,3.822812030075188,4.817570552147239,7.827968944099379,6.165030303030303,4.060126315789473,2.5390181818181823,0.34971428571428576,1.0805333333333331,0.3546666666666667,1.6710491803278689
55,1.3034848484848485,0.8577808219178082,5.800947368421053,8.831745454545453,2.425139534883721,8.1549410430839,0.9835294117647058,1.7328823529411765,2.344466666666667,1.1717142857142857,1.5438648648648647
56,2.5800194174757283,2.7738715596330272,0.4446666666666667,2.6466153846153846,2.5186301369863013,2.7167118644067796,7.59528,1.688236111125,2.0077692307692305,2.013793103448276,2.0937704918032787
57,2.573653846153846,3.05765,2.8804000000000003,1.8988615384615386,2.647375,5.119736462093862,3.0497161290322583,1.1692340425531915,3.6562489583124997,2.951921568627451,1.3947619047619046
58,1.413,2.7512420091324197,4.10935691318328,1.5935813953488371,4.963435897435898,3.5983059360730594,3.7829206349206346,1.4071923076923079,0.48529729729729726,1.0450303030303032,2.3516153846153847
59,1.4943448275862068,4.572968085106383,2.9822396313364052,4.025822222222223,4.780857142857143,11.705005870841488,2.8571818181818185,1.8899666666666666,1.6492,1.8456923076923077,0.8588387096774193
60,1.3936153846153847,3.162786610878661,3.21534693877551,2.702559139784946,9.010283400809717,8.617660130718955,8.25828947368421,2.8487768115942034,3.4946052631578945,3.981025641025641,0.9973506493506492
